Date,Close,High,Low,Open,Volume,sector
,HD,HD,HD,HD,HD,Retail
2015-01-02,81.37752532958984,83.1320661217052,80.77956445838078,82.7386719174633,4323700,Retail
2015-01-05,79.67020416259766,80.86612002596732,79.30041261193473,80.86612002596732,5878100,Retail
2015-01-06,79.4262924194336,80.3074976532109,78.94635097992413,80.3074976532109,4910100,Retail
2015-01-07,82.14861297607422,82.19581837831113,80.25244928327098,80.48061873195196,5091000,Retail
2015-01-08,83.9660873413086,84.17851763979303,82.6285430083464,82.90392384344409,6464600,Retail
2015-01-09,82.52622985839844,84.09193699996386,82.47115491380222,84.09193699996386,5717600,Retail
2015-01-12,82.15644836425781,82.84095647553632,81.87320404253703,82.74653970072289,4992900,Retail
2015-01-13,81.61355590820312,83.43103502509261,81.15721723729072,82.93536053940964,5395200,Retail
2015-01-14,80.7559814453125,81.36181202899758,80.1580204283913,80.58288699283105,5384400,Retail
2015-01-15,79.47350311279297,81.5506241431245,79.32401138623928,81.29098251365318,6895000,Retail
2015-01-16,81.92042541503906,82.06991115664563,78.8676820206113,79.35549307918487,6403800,Retail
2015-01-20,81.23590850830078,82.57344648943194,80.52779769364092,82.4868992786002,5331300,Retail
2015-01-21,81.45623779296875,81.87323486729908,80.64584634621784,81.07858255696918,5899200,Retail
2015-01-22,83.45465850830078,83.64348607331665,81.46408450283162,82.1249839817472,5804100,Retail
2015-01-23,82.90390014648438,83.7772357957625,82.85668875819947,83.56479955527894,4072300,Retail
2015-01-26,83.68280792236328,83.79295780921893,82.65998068416799,82.89601958612649,4192300,Retail
2015-01-27,82.7386703491211,83.25007800276632,82.14070948924659,82.43968691782432,4606500,Retail
2015-01-28,82.408203125,84.52466552827863,82.29805324553818,82.85667220644258,4917300,Retail
2015-01-29,84.67420196533203,84.76861276749037,82.22728863070495,82.72296335020046,6529300,Retail
2015-01-30,82.15644836425781,84.07621409976109,82.12497610598668,83.68281987545105,7000000,Retail
2015-02-02,82.16431427001953,82.61278342565001,79.91409892697,82.43968901422785,5012800,Retail
2015-02-03,84.37520599365234,84.43815052097025,82.46330949609457,82.52625402341248,5969200,Retail
2015-02-04,85.29572296142578,85.7599251797176,83.98965149481516,84.2571566370067,6765200,Retail
2015-02-05,85.75209045410156,86.02746527197378,85.09119089120821,85.74422688982008,4471800,Retail
2015-02-06,85.79142761230469,86.3421772180432,85.33508879456677,85.98025519102639,4223700,Retail
2015-02-09,85.24066925048828,86.1218745939266,85.00463628539038,85.66553579092889,4243800,Retail
2015-02-10,87.07389068603516,87.21551287050835,85.49244996259188,85.59473031698677,5414400,Retail
2015-02-11,86.7906265258789,87.17615716402656,86.39723232568514,87.01879588231759,4552900,Retail
2015-02-12,88.2462158203125,88.27768208318881,86.71197438673398,87.18404636525011,4592200,Retail
2015-02-13,88.03375244140625,88.42714663624771,87.56955017279844,88.12816920914705,5098600,Retail
2015-02-17,88.12031555175781,88.30127955524846,87.03454953897433,87.8764130277975,6028600,Retail
2015-02-18,88.1124496459961,88.25407182769627,87.33353064800532,87.80560258609911,3731600,Retail
2015-02-19,87.28632354736328,88.47436993440058,87.050284581574,88.12818705468864,5910600,Retail
2015-02-20,88.30913543701172,88.31700500240593,86.58607278429295,87.1840276944224,7276100,Retail
2015-02-23,88.34060668945312,89.03298437098613,87.96295159290743,88.89922577168664,5638000,Retail
2015-02-24,91.85753631591797,92.77807720922377,90.58293707715097,92.44762755563478,12775500,Retail
2015-02-25,91.51136779785156,92.32962855177325,91.14944581101078,92.32962855177325,7328200,Retail
2015-02-26,90.7796630859375,91.59792391942734,90.63804090316577,91.26747416053348,5649900,Retail
2015-02-27,90.28397369384766,91.00781761962932,90.13448196903991,90.63016252909951,5732600,Retail
2015-03-02,91.36188507080078,92.10146219748744,90.37052985519269,90.37052985519269,5971900,Retail
2015-03-03,91.32254028320312,91.36188210900171,90.32332153674925,91.35401254329803,3784800,Retail
2015-03-04,90.29183959960938,90.85045865030418,89.89057582980466,90.78751413686045,3799000,Retail
2015-03-05,91.19664764404297,91.3461333603556,90.52787269219694,90.66163128419767,4088700,Retail
2015-03-06,90.04793548583984,91.23598772325714,89.69388308527523,91.23598772325714,5169200,Retail
2015-03-09,90.6773681640625,90.8583321473652,89.98499649437447,89.99286005685586,5351200,Retail
2015-03-10,89.01661682128906,90.42430581130127,89.01661682128906,90.03679734445258,5685000,Retail
2015-03-11,89.41993713378906,89.99725078427672,88.89798786419325,89.11151119411716,4356500,Retail
2015-03-12,91.81617736816406,92.10087917976706,89.97352565240242,90.03679406244923,5742000,Retail
2015-03-13,90.80392456054688,91.98227026666696,90.15543831576032,91.72920261098461,4626900,Retail
2015-03-16,92.1325454711914,92.21953805690019,91.19935721563238,91.20726727804492,4820300,Retail
2015-03-17,91.40493774414062,91.80035622612745,91.05696754923791,91.30212507731544,3715900,Retail
2015-03-18,91.80034637451172,92.06922801727609,89.60972484057268,91.2704871135773,4773600,Retail
2015-03-19,91.07279205322266,92.07715239105002,91.00161358556146,91.9031672852199,3545600,Retail
2015-03-20,92.9154281616211,93.31084662213276,91.20722354968628,91.38120863768852,8446000,Retail
2015-03-23,91.79243469238281,93.1210408671178,91.79243469238281,92.55954741691997,4095200,Retail
2015-03-24,91.85569763183594,93.18430372762867,91.76870509915379,91.89523585257848,4026900,Retail
2015-03-25,89.90234375,92.21949622991184,89.87070954830753,91.70545101122153,4725800,Retail
2015-03-26,88.86636352539062,89.70464888692483,88.24160151748207,89.64929053349537,5409600,Retail
2015-03-27,90.0447006225586,90.33731248244712,88.5737433309805,88.63701173856842,3879300,Retail
2015-03-30,90.65365600585938,91.77664929080589,90.5745735013554,90.91463370097001,3968400,Retail
2015-03-31,89.84699249267578,91.23886730890199,89.79954420319781,89.91816492689273,4128800,Retail
2015-04-01,89.4673843383789,90.1554146751033,88.91380087223784,90.06051206650459,4737700,Retail
2015-04-02,90.58248901367188,90.88300496231713,88.98499457194659,89.05617305380994,4064800,Retail
2015-04-06,90.90672302246094,91.38123011347584,89.6888391874404,89.72046736214031,3248900,Retail
2015-04-07,90.3926773071289,91.57102282324445,90.33731895492504,90.81181997861651,3188300,Retail
2015-04-08,91.412841796875,91.58682689437829,90.020973084063,90.1316897763638,3753500,Retail
2015-04-09,90.60619354248047,91.93479992467162,90.26613339603846,91.31003797964527,4674000,Retail
2015-04-10,91.13607025146484,91.4603163747382,90.48758403852666,90.52712830893853,3658100,Retail
2015-04-13,90.50338745117188,91.28631438519078,90.43220898429338,90.91462003293317,2982000,Retail
2015-04-14,90.19495391845703,90.93043250175363,89.45156527648217,90.31357463059605,4072500,Retail
2015-04-15,89.72045135498047,91.11232610417387,89.66509300871974,90.61410098782729,4210800,Retail
2015-04-16,89.65721130371094,90.14752648305519,89.38041346989034,89.63348112059958,4013000,Retail
2015-04-17,88.65283203125,89.45157914055629,88.39185435688144,89.29341414411903,6245200,Retail
