Date,Close,High,Low,Open,Volume,sector
,VOO,VOO,VOO,VOO,VOO,ETF
2015-01-02,157.08819580078125,158.18881987574417,156.13766261004102,157.83027861879071,1865000,ETF
2015-01-05,154.32838439941406,156.26281083642075,153.9698557038072,156.13773292277594,2734700,ETF
2015-01-06,152.81085205078125,154.98707515234207,152.05208939603972,154.56182811233268,2245300,ETF
2015-01-07,154.72024536132812,155.0120810528909,153.61128754531597,154.0281884059459,2305600,ETF
2015-01-08,157.43838500976562,157.63015576762137,155.97923257315966,156.0292586210525,1740600,ETF
2015-01-09,156.11270141601562,157.87202365490927,155.62909486397604,157.83867718223306,2525200,ETF
2015-01-12,154.95362854003906,156.42112695170306,154.41166279114825,156.30439528012053,1847500,ETF
2015-01-13,154.54513549804688,157.09656642194147,153.33611296969414,156.1043404575818,2158500,ETF
2015-01-14,153.63629150390625,153.75302322907515,151.84362299821152,152.66909123370837,5216300,ETF
2015-01-15,152.20213317871094,154.46174103424903,152.0854014676781,154.15323852426278,1940700,ETF
2015-01-16,154.08653259277344,154.31999601441623,151.8269247413278,152.01036210444747,1472800,ETF
2015-01-20,154.4700469970703,155.00367939871353,153.0692667138069,154.77021601816963,1637600,ETF
2015-01-21,155.27883911132812,155.7040859896965,153.66960843386448,154.06149612975673,1586500,ETF
2015-01-22,157.6552276611328,157.71358716453312,154.7536012946641,155.99595769057288,6074900,ETF
2015-01-23,156.7880401611328,157.6051748525224,156.5795897705787,157.35503183929706,3109800,ETF
2015-01-26,157.09657287597656,157.1799454077965,155.86253726612694,156.5796071983571,2018000,ETF
2015-01-27,155.03707885742188,156.07098474762864,154.26998287595114,155.2038366407323,1979100,ETF
2015-01-28,152.99427795410156,156.18773998016778,152.87754622544034,156.1460473507593,2530800,ETF
2015-01-29,154.4784393310547,154.69522318556142,151.92700825042905,153.20272379074186,4338200,ETF
2015-01-30,152.577392578125,154.57017832701385,152.27722342787035,153.38618132401098,2302500,ETF
2015-02-02,154.32838439941406,154.4701291899661,151.3100257143264,153.00264248530388,3397800,ETF
2015-02-03,156.57958984375,156.63796206007746,154.91198671853797,155.19548891915366,1435000,ETF
2015-02-04,156.0459442138672,157.04651618299016,155.62904346766632,155.94589210607532,1861200,ETF
2015-02-05,157.6302490234375,157.7469807785138,156.6296893052396,156.66303578262978,1033800,ETF
2015-02-06,157.18829345703125,158.46400898672874,156.7046869645676,157.99708208995108,1454700,ETF
2015-02-09,156.47122192382812,157.24665135748472,156.10434715929244,156.59628708319093,2289300,ETF
2015-02-10,158.1388397216797,158.36395702915237,156.62966062071845,157.4384493194885,1798000,ETF
2015-02-11,158.2471923828125,158.6140671046486,157.4050573879085,158.01372896397174,1744400,ETF
2015-02-12,159.71470642089844,159.79807895107774,158.8141991244599,159.00596993895599,2008500,ETF
2015-02-13,160.4150390625,160.45673167399966,159.63960992436094,159.85639369224094,1073100,ETF
2015-02-17,160.67356872558594,160.8236596321992,159.91480620218155,160.14828235944697,1700400,ETF
2015-02-18,160.70687866210938,160.74022511846857,160.08986107567256,160.323324438584,1863000,ETF
2015-02-19,160.5985107421875,160.8986797973016,159.99817263195925,160.16493039084455,1017600,ETF
2015-02-20,161.5740509033203,161.60741008752146,159.63129191463628,160.1982835408467,1374000,ETF
2015-02-23,161.5323944091797,161.5323944091797,160.9487357831417,161.33229015042602,1497700,ETF
2015-02-24,162.0076446533203,162.16606898439153,161.28222864908915,161.49902519594534,1244200,ETF
2015-02-25,161.83251953125,162.29944630516164,161.51568363341016,161.87421214809217,1983600,ETF
2015-02-26,161.64910888671875,161.88257231222383,161.09880951105825,161.7491737282227,994200,ETF
2015-02-27,161.09043884277344,161.7991751698814,161.08210540841708,161.56571177989773,966600,ETF
2015-03-02,162.14939880371094,162.14939880371094,161.1738524546336,161.1821858904572,1016600,ETF
2015-03-03,161.4573516845703,161.77420038421658,160.66524265825822,161.7241743206521,1388100,ETF
2015-03-04,160.78196716308594,160.9654045364565,159.86478029623314,160.92371191108992,1497500,ETF
2015-03-05,160.95703125,161.19884080268977,160.49010445931734,161.048749921227,1135800,ETF
2015-03-06,158.68075561523438,160.54847548700891,158.37225314283438,160.0898821342517,1815600,ETF
2015-03-09,159.35618591308594,159.64802161383693,158.77252723438892,158.85591249826206,1132000,ETF
2015-03-10,156.73805236816406,158.11383291537743,156.7297189307162,158.0638068450797,2390500,ETF
2015-03-11,156.3711700439453,157.14661226472558,156.31281053900318,156.9715083042898,1857500,ETF
2015-03-12,158.38897705078125,158.42232352085702,156.9214779113617,156.92982407098387,2646900,ETF
2015-03-13,157.42176818847656,158.24722375344237,156.43787553734367,158.1555050548012,1792200,ETF
2015-03-16,159.57290649414062,159.57290649414062,158.0470484963325,158.0803949523135,1054700,ETF
2015-03-17,159.03091430664062,159.36444245176278,158.28049824501198,158.82246398698845,1460900,ETF
2015-03-18,160.9237060546875,161.55739067966803,157.99706706882412,158.5640460402063,2287400,ETF
2015-03-19,160.181640625,160.79865844598763,159.88147151246602,160.55684883496653,1372000,ETF
2015-03-20,161.6325225830078,162.08277006439775,161.03218412594865,161.08221021023544,1350100,ETF
2015-03-23,161.3424835205078,162.1553985552731,161.31734287305855,161.6190434301644,707100,ETF
2015-03-24,160.4038543701172,161.619045353965,160.3451971212757,161.2251581556184,1587700,ETF
2015-03-25,158.06568908691406,160.797746117162,158.03217248487294,160.60499688306592,1216700,ETF
2015-03-26,157.67178344726562,158.51821501780557,156.84210378193043,157.45389359017886,1906200,ETF
2015-03-27,157.99868774414062,158.20820173232175,157.41205113477724,157.58803572372676,1837000,ETF
2015-03-30,159.96803283691406,160.22782798760537,158.9958854188271,159.02102606000938,1414700,ETF
2015-03-31,158.56016540527344,160.72235104838342,158.53502475260962,159.21384794996743,2765200,ETF
2015-04-01,158.0488739013672,158.53494759583126,157.11025589148417,158.53494759583126,3379900,ETF
2015-04-02,158.51824951171875,158.97080680500227,157.78076910310182,157.94837770561855,1803500,ETF
2015-04-06,159.6328125,160.10212154702097,157.62986031079168,157.74718757254692,1242500,ETF
2015-04-07,159.2054443359375,160.34520061364904,159.2054443359375,159.63284814468608,1372300,ETF
2015-04-08,159.78366088867188,160.11887796559307,159.0713086155746,159.4316791215911,1412100,ETF
2015-04-09,160.479248046875,160.66362127500724,159.19702418886294,159.6076631888478,794800,ETF
2015-04-10,161.35923767089844,161.38439110641235,160.52118197702967,160.68880334597546,1056900,ETF
2015-04-13,160.6300811767578,161.77821301266266,160.57142394683603,161.2083414638871,1227800,ETF
2015-04-14,160.9234619140625,161.0910704994561,159.87589227070828,160.4206233701663,2647800,ETF
2015-04-15,161.6609344482422,162.0967269794137,161.28381195237148,161.35923389400267,934900,ETF
2015-04-16,161.6022491455078,162.05479350444523,161.15808073828148,161.36759462047172,823300,ETF
2015-04-17,159.7250213623047,160.71393366713934,159.02105769373955,160.5127957099575,2059300,ETF
2015-04-20,161.1832275390625,161.49330400448238,160.52954522467226,160.63010779989753,1430300,ETF
2015-04-21,161.0240020751953,161.9626202528111,160.73906624094963,161.8369170282067,1089500,ETF
2015-04-22,161.8201904296875,161.97942307681367,160.48768478434206,161.31736462518637,1125400,ETF
2015-04-23,162.23916625976562,162.80066192783482,161.3256888051924,161.45139201904652,956400,ETF
2015-04-24,162.56605529785156,162.8258505414979,162.1805568033171,162.59958468989925,978300,ETF
2015-04-27,161.92071533203125,163.20293927588614,161.74471804331802,163.11075265564827,898200,ETF
2015-04-28,162.42356872558594,162.45709811378876,160.85640870154648,161.8872136037741,1103800,ETF
